entries|examples|translation|nwords|counter|firsttime|lasttime
nun|1. Schade, dass du arbeiten musst. – Das ist nun mal so. 2. Was ist jetzt? Kommst du nun endlich?|1. Too bad you have to work. - That's how it is. 2. What is now? Are you finally coming? |1|0|never|never
nur|1. Im Kaufhaus gibt‘s T-Shirts für nur fünf Euro. 2. Ich habe keinen Hunger. Ich möchte nur etwas trinken. 3. Ich habe nur heute Abend Zeit. 4. Kannst du mir Geld leihen? Tut mir leid. Ich habe nur fünf Euro dabei.|1. The department store's T-shirts for only five euros. 2. I have no hunger. I just want to drink something. 3. I only have time tonight. 4. Can you lend me money? I'm sorry. I only have five euros. |1|0|never|never
nutzen, nutzt, nutzte, hat genutzt|Ich möchte das schöne Wetter nutzen und spazieren gehen.|I want to use the beautiful weather and go for a walk. |4|0|never|never
nützen, nützt, nützte, hat genützt|Ich habe jeden Tag eine Tablette genommen. Aber es hat nichts genützt.|I took a tablet every day. But it did not help. |4|0|never|never
nützlich|Danke für den Tipp. Das war sehr nützlich.|Thanks for the tip. That was very useful. |1|0|never|never
ob|Ich weiß noch nicht, ob ich kommen kann.|I do not know if I can come. |1|0|never|never
oben|1. Wir wohnen oben im 4. Stock. 2. Die Butter liegt im Kühlschrank ganz oben.|1. We live up on the 4th floor. 2. The butter is in the refrigerator at the top. |1|1|2021/04/17|2021/04/17
ober-|Die Wohnung im oberen Stockwerk ist vermietet.|The apartment on the upper floor is rented. |1|0|never|never
der Ober, - (D, A) → Kellner; CH: Serviceangestellter|Ich bin Ober von Beruf.|I am the upper of work. |3|0|never|never
das/der (Schlag-)Obers (A) → D: (Schlag-)Sahne; CH: (Schlag-)Rahm|Ich hätte gern ein Stück Torte mit (Schlag-)Obers.|I would like a piece of pie with (impact) upper. |1|0|never|never
das Obst (D, A) → CH: Früchte|Obst kaufe ich am liebsten auf dem Markt.|I like to buy fruit in the market. |2|0|never|never
obwohl|Obwohl meine Kollegin krank ist, geht sie arbeiten.|Although my colleague is sick, she works. |1|0|never|never
oder|1. Möchten Sie Kaffee oder Tee? 2. Entweder wir fahren mit dem Bus oder wir gehen zu Fuß.|1. Do you want coffee or tea? 2. Either we drive by bus or we walk. |1|0|never|never
der (Back-)Ofen, ¨- (D, CH) → A: (Back-)Rohr|Ich habe gerade eine Pizza gemacht. Sie ist ganz frisch aus dem Ofen.|I just made a pizza. It is fresh from the oven. |3|0|never|never
offen|1. Komm rein. Die Haustür ist offen. (A) (D: auf) 2. Ich glaube, der Supermarkt ist jetzt noch offen. 3. Im Sommer schlafe ich immer bei offenem Fenster. 4. Ich habe mit meinem Kollegen ganz offen über mein Problem gesprochen. 5. Einzelne Fragen sind noch offen.|1. Come in. The front door is open. (A) (D: On) 2. I think the supermarket is still open now. 3. In summer, I always sleep with open window. 4. I have spoken to my problem with my colleague. 5. Individual questions are still open. |1|0|never|never
öffentlich|1. In der Stadt fahre ich immer mit öffentlichen Verkehrsmitteln. 2. In öffentlichen Gebäuden darf man nicht rauchen.|1. In the city I always drive by public transport. 2. You can not smoke in public buildings. |1|0|never|never
die Öffentlichkeit|1. Von solchen Dingen erfährt die Öffentlichkeit nur selten. 2. Ich möchte in der Öffentlichkeit nicht streiten.|1. Of such things, the public rarely experiences. 2. I do not want to argue in public. |1|0|never|never
veröffentlichen, veröffentlicht, veröffentlichte, hat veröffentlicht|Das Buch wurde gestern veröffentlicht.|The book was published yesterday. |4|0|never|never
offenbar|Das Restaurant ist heute offenbar geschlossen.|The restaurant is clearly closed today. |1|0|never|never
offiziell|Sie bekommen von uns eine offizielle Einladung.|You get an official invitation from us. |1|0|never|never
öffnen, öffnet, öffnete, hat geöffnet|1. Wann öffnen die Geschäfte? 2. Kannst du bitte das Fenster öffnen? 3. Kannst Du mir helfen? Ich kann die Dose nicht öffnen. 4. Du öffnest die Datei mit einem Doppelklick. 5. Der Laden ist samstags bis 16 Uhr geöffnet.|1. When do the shops open? 2. Can you please open the window? 3. Can you help me? I can not open the can. 4. You open the file with a double-click. 5. The store is open on Saturdays until 16 o'clock. |4|0|never|never
oft/öfter|1. Ich treffe mich oft mit meiner Freundin. 2. In letzter Zeit muss ich öfter Überstunden machen.|1. I often meet with my girlfriend. 2. Lately, I have to do overtime more often. |1|1|2021/04/17|2021/04/17
ohne|1. Bitte eine Pizza ohne Zwiebeln. 2. Ohne Auto ist es schwer, zur Arbeit zu kommen. 3. Mein Sohn ist einfach mit dem Auto weggefahren, ohne mich zu fragen. 4. In diesem Haus kann man nichts machen, ohne dass die Nachbarn darüber reden.|1. Please a pizza without onions. 2. Without a car, it's hard to get to work. 3. My son is just driven away by car without asking me. 4. In this house you can not do anything without the neighbors talking about it. |1|1|2021/04/17|2021/04/17
das Ohr, -en|1. Ich habe Ohrenschmerzen. 2. Das Baby hat aber kleine Ohren!|1. I have ear pain. 2. But the baby has little ears! |2|0|never|never
Öko- (ökologisch)|z.B. Ökoladen, Ökostrom, ökologischer Anbau|e.g. Ecolades, green electricity, ecological cultivation |1|0|never|never
das Öl, -e|1. Es fehlt Öl am Salat. 2. Wir heizen mit Öl. 3. Können Sie bei meinem Auto bitte das Öl kontrollieren?|1. It lacks oil at the salad. 2. We heat with oil. 3. Can you check the oil with my car? |2|0|never|never
die Oma, -s|Meine Oma ist achtzig Jahre alt geworden.|My grandma has become eighty years old. |2|0|never|never
der Onkel, -|Nächste Woche fahre ich zu meinem Onkel nach Berlin.|Next week I drive to my uncle to Berlin. |2|0|never|never
der Opa, -s|Mein Opa heißt Hans.|My grandpa is called Hans. |2|0|never|never
die Oper, -n|1. Ich mag Opern. 2. Warst du schon mal in der Oper?|1. I like operas. 2. Have you ever been in the opera? |2|0|never|never
operieren, operiert, operierte, hat operiert|Wir müssen das Knie sofort operieren.|We have to operate the knee immediately. |4|0|never|never
die Operation, -en|Seit der Operation kann ich mein Knie nicht mehr bewegen.|Since the surgery, I can not move my knee anymore. |2|0|never|never
das Opfer, -|Bei der Schiffskatastrophe gab es viele Opfer.|There were many victims at the ship's catastrophe. |2|0|never|never
optimistisch|Glaubst du, dass du den Job bekommst. – Ja, ich bin ganz optimistisch.|Do you think you get the job. - Yes, I'm very optimistic. |1|0|never|never
die Orange, -n|Ich esse gern Orangen.|I like to eat oranges. |2|0|never|never
das Orchester, -|Auf unserer Hochzeit hat ein kleines Orchester gespielt.|On our wedding a small orchestra played. |2|0|never|never
ordentlich|1. Mein Bruder ist ein sehr ordentlicher Mensch. 2. Auf seinem Schreibtisch sieht es immer sehr ordentlich aus.|1. My brother is a very decent person. 2. On his desk it always looks very neat. |1|0|never|never
die Ordination, -en (A) → Praxis|Die Ordination bleibt bis zum 7. Jänner geschlossen.|The ordination remains closed until the 7th of January. |2|0|never|never
die Ordination, -en (A) → Sprechstunde|Frau Dr. Berger hat von 8 bis 12 Uhr Ordination.|Miss Dr. Berger has ordination from 8 to 12 o'clock. |2|0|never|never
ordnen, ordnet, ordnete, hat geordnet|Letztes Wochenende habe ich meine Papiere geordnet.|Last weekend I have arranged my papers. |4|0|never|never
der Ordner, -|Für meine Übungen im Deutschkurs habe ich mir einen Ordner gekauft.|For my exercises in the German course, I bought a folder. |2|0|never|never
die Ordnung|1. Mach mal etwas Ordnung in deinem Zimmer! 2. Bitte beachten Sie die Hausordnung. 3. Mit dem Motor ist etwas nicht in Ordnung.|1. Take a little order in your room! 2. Please note the house rules. 3. With the engine something is not okay. |1|0|never|never
organisieren, organisiert, organisierte, hat organisiert|Für den nächsten Sommerurlaub habe ich schon alles organisiert.|For the next summer vacation, I have already organized everything. |4|0|never|never
die Organisation, -en|1. Die Organisation des Festes war sehr gut. 2. Sind Sie Mitglied in einer Organisation?|1. The organization of the festival was very good. 2. Are you a member of an organization? |2|0|never|never
das Original, -e|Das Original ist für Sie. Wir bekommen die Kopie.|The original is for you. We get the copy. |2|0|never|never
original|Ich muss das originale Dokument abgeben.|I have to give the original document. |1|0|never|never
der Ort, -e|Vergessen Sie Ort und Datum nicht.|Do not forget location and date. |2|0|never|never
der Vorort, -e|Mein Bruder wohnt in einem Vorort von Hamburg.|My brother lives in a suburb of Hamburg. |2|0|never|never
der Wohnort, -e|Tragen Sie bitte auch Ihren Wohnort ein.|Please also enter your place of residence. |2|0|never|never
der Ozean, -e|Dieses Schiff fährt über den Atlantischen Ozean.|This ship drives over the Atlantic Ocean. Chen ocean. |2|0|never|never
(ein) paar|1. Ich komme gleich. Es dauert nur ein paar Minuten. 2. Wir fahren mit ein paar Freunden in Urlaub.|1. I come the same. It only takes a few minutes. 2. We drive with a few friends on vacation. |1|0|never|never
das Paar, -e|1. Ina und Pedro sind ein Paar. 2. Gestern habe ich mir ein Paar neue Schuhe gekauft.|1. Ina and Pedro are a few. 2. Yesterday I bought a few new shoes. |2|0|never|never
packen, packt, packte, hat gepackt|Ich muss noch meinen Koffer packen.|I still have to pack my suitcase. |4|0|never|never
das Paket, -e|Hast du das Paket zur Post gebracht?|Did you bring the package to the mail? |2|0|never|never
die Panne, -n|1. Kurz vor München hatten wir eine Panne mit dem Auto. 2. Die Reise war schlecht organisiert, es gab mehrere Pannen.|1. Shortly before Munich we had a breakdown by car. 2. The journey was badly organized, there were several breakdowns. |2|0|never|never
das Papier, -e|1. Hast du ein Blatt Papier für mich? 2. Bitte bringen Sie zu dem Termin alle Papiere mit.|1. Do you have a sheet of paper for me? 2. Please bring all the papers to the appointment. |2|0|never|never
der Paradeiser, - (A) → Tomate|Kauf bitte noch Paradeiser auf dem Markt.|Please buy a paradeiser on the market. |2|0|never|never
parallel|Die Goethestraße ist parallel zur Hauptstraße.|The Goethestraße is parallel to the main road. |1|0|never|never
das Parfüm, -s|Zum Geburtstag habe ich von meinem Mann ein Parfüm bekommen.|For his birthday, I got a perfume from my husband. |2|0|never|never
der Park, -s|Ich gehe gern im Park spazieren.|I like to go for a walk in the park. |2|0|never|never
parken, parkt, parkte, hat geparkt (D, A) → CH: parkieren parkieren, parkiert, parkierte, hat parkiert (CH) → D, A: parken|1. Hier dürfen Sie nicht parken. 2. Hier ist das Parken verboten. 1. Hier dürfen Sie nicht parkieren. 2. Hier ist das Parkieren verboten.|1. You can not park here. 2. Here parking is prohibited. 1. You can not park here. 2. Here is parked forbidden. |9|0|never|never
der Partner, - die Partnerin, -nen|1. Wir haben das Geschäft zusammen. Wir sind Partner. 2. Beide Partner kümmern sich um die Kinder. 3. Herr Aydin ist mein Geschäftspartner.|1. We have the business together. We are partners. 2. Both partners take care of the children. 3. Mr. Aydin is my business partner. |3|0|never|never
die Party, -s|Letzte Woche war ich auf einer Geburtstagsparty.|Last week I was on a birthday party. |2|0|never|never
der Pass, ¨-e|1. Ich muss meinen Pass verlängern lassen. 2. Im Hotel brauchst du bei der Anmeldung deinen Pass.|1. I have to extend my passport. 2. In the hotel you need to register your passport. |2|0|never|never
der Passagier, -e die Passagierin, -nen|Die Passagiere Schulz und Kaufmann sollen bitte zur Information kommen.|The passengers Schulz and Kaufmann should lead to information please. |3|0|never|never
passen, passt, passte, hat gepasst|1. Der Pullover passt mir nicht mehr. 2. Wann soll ich kommen? Passt es Ihnen morgen Abend? 3. Passt das T-Shirt zu diesem Rock?|1. The sweater does not fit me anymore. 2. When should I come? Does it fit you tomorrow evening? 3. Fits the T-shirt for this skirt? |4|0|never|never
passieren, passiert, passierte, ist passiert|1. Entschuldigung! – Kein Problem. Es ist nichts passiert. 2. Wie ist der Unfall passiert? 3. Man hat mir die Brieftasche gestohlen. – Das ist mir auch schon passiert.|1. Sorry! - No problem. Nothing happened. 2. How did the accident happen? 3. I stole the wallet. - That also happened to me before. |4|1|2021/04/17|2021/04/17
passiv|Man sollte im Kurs nicht passiv sein, sondern mitdiskutieren.|You should not be passive in the course, but discussed. |1|0|never|never
der Patient, -en die Patientin, -nen|Ich bin Patientin bei Dr. Hausner. Ich möchte bitte einen Termin.|I am a patient at Dr. med. Hausner. I would like an appointment please. |3|0|never|never
pauschal|Sie haben die Reise pauschal gebucht.|You have booked the trip a flat rate. |1|0|never|never
die Pause, -n|Wir machen zehn Minuten Pause.|We take ten minutes break. |2|0|never|never
das Pech|1. Es regnet. Unser Picknick fällt leider aus. – So ein Pech! 2. Wir hatten im Urlaub Pech mit dem Wetter.|1. It rains. Our picnic is unfortunately out. - Bad luck! 2. We had luck with the weather on vacation. |1|0|never|never
peinlich|1. Das muss dir nicht peinlich sein. 2. Das war eine peinliche Situation.|1. That does not have to be embarrassed. 2. That was an embarrassing situation. |1|0|never|never
die Pension, -en|Im Urlaub haben wir in einer kleinen Pension gewohnt.|On vacation we lived in a small guesthouse. |2|0|never|never
die Pension, -en (A, CH) → D, CH: Rente|Sie ist 67 und bekommt jetzt eine gute Pension.|She is 67 and now gets a good pension. |4|0|never|never
in Pension gehen/sein (D, A) → D: in Rente gehen/sein; D, CH: pensioniert werden/sein|1. Ich gehe Ende des Jahres in Pension. 2. Mein Nachbar ist seit zehn Jahren in Pension.|1. I go in pension at the end of the year. 2. My neighbor has been in pension for ten years. |3|0|never|never
pensioniert werden/sein (D, CH) → D, A: in Pension gehen/sein; D: in Rente gehen/sein|1. Ich werde Ende des Jahres pensioniert. 2. Mein Nachbar ist seit zehn Jahren pensioniert.|1. I will retire at the end of the year. 2. My neighbor has been retired for ten years. Sioned. |3|0|never|never
der Pensionist, -en / die Pensionistin, -nen (A) → D, CH: Rentner|Meine Großmutter arbeitet nicht mehr. Sie ist Pensionistin.|My grandmother is not working anymore. She is pensioner. |4|0|never|never
per|Wie kann ich mich für den Kurs anmelden? – Per Fax oder E-Mail.|How can I sign up for the course? - By fax or e-mail. |1|0|never|never
perfekt|Die Reiseorganisation war perfekt.|The travel organization was perfect. |1|0|never|never
der Perron, -s (CH) → D, A: Bahnsteig|Auf Hauptbahnhöfen gibt es meist viele Perrons.|On main stations, there are usually many Perrons. |3|0|never|never
die Person, -en|Eintritt pro Person: 2 Euro.|Admission per person: 2 euros. |2|0|never|never
persönlich|1. Hier gibt es zu viele Autos. Das ist meine persönliche Meinung. 2. Ich muss Herrn Meier persönlich sprechen.|1. There are too many cars here. This is my personal opinion. 2. I have to speak Mr Meier personally. |1|0|never|never
die Personalien (Pl.)|Mein Kollege wird Ihre Personalien aufnehmen.|My colleague will record your personal details. |1|0|never|never
der Personenstand → D, A: Familienstand; CH: Zivilstand|Bei „Personenstand“ musst du „ledig“ ankreuzen.|"For ""passenger stand"" you have to check ""single"". "|2|0|never|never
das Personal|Dieser Eingang ist nur für das Personal.|This entrance is only for the staff. |1|0|never|never
die Pfanne, -n (CH) → D, A: Topf|Hast du keine größere Pfanne? Ich möchte Kartoffeln kochen.|Do not you have a bigger pan? I want to cook potatoes. |3|0|never|never
der Pfeffer|Bringen Sie uns bitte Pfeffer und Salz.|Please bring us pepper and salt. |1|0|never|never
pflanzen, pflanzt, pflanzte, hat gepflanzt|Lass uns einen Baum pflanzen!|Let's plow a tree! |4|0|never|never
die Pflanze, -n|Wenn wir im Urlaub sind, gießt die Nachbarin unsere Pflanzen.|When we are on vacation, the neighbor pour our plants. |2|0|never|never
das Pflaster, -|Hast du ein Pflaster? Ich habe mich geschnitten.|Do you have a patch? I cut myself. |2|0|never|never
die Pflaume, -n|Ich esse gern Pflaumen und noch lieber Pflaumenkuchen.|I like to eat plums and even rather plum cake. |2|0|never|never
pflegen, pflegt, pflegte, hat gepflegt|Meine Mutter ist sehr krank. Ich muss sie pflegen.|My mother is very ill. I have to care for her. |4|0|never|never
der Pfleger, - die Pflegerin, -nen|Meine Freundin ist Pflegerin in einem Altersheim.|My girlfriend is nurser in a retirement home. |3|0|never|never
die Pflicht, -en|Als Autofahrer müssen Sie eine Versicherung haben. Das ist Pflicht.|As a motorist you have to have insurance. That's mandatory. |2|0|never|never
die Phantasie/Fantasie, -n|Mein Sohn malt sehr gut. Er hat viel Phantasie.|My son paints very well. He has a lot of imagination. |2|0|never|never
das Picknick, -s die Pille, -n|Am Sonntag machen wir ein Picknick. Der Arzt hat mir neue Pillen verschrieben.|On Sunday we make a picnic. The doctor has committed me new pills. |3|0|never|never
der Pilz, -e → A: Schwammerl|Haben Sie frische Pilze?|Do you have fresh mushrooms? |2|0|never|never
die Pizza, -s/Pizzen|Lass uns eine Pizza bestellen!|Let's order a pizza! |2|0|never|never
das Plakat, -e|Im Unterricht haben wir ein Plakat gemacht.|In class, we made a poster. |2|0|never|never
planen, plant, plante, hat geplant|1. Wir haben geplant, diesmal im Urlaub nach Österreich zu fahren. 2. Unser Familientreffen ist für Juni geplant.|1. We have planned to go to Austria this time. 2. Our family reunion is planned for June. |4|0|never|never
der Plan, ¨-e|1. Was macht ihr im Sommer? – Ich weiß noch nicht, wir haben noch keine Pläne. 2. Haben Sie einen Plan von Berlin?|1. What are you doing in summer? - I do not know yet, we have no plans yet. 2. Do you have a plan of Berlin? |2|0|never|never
die Planung, -en|Unsere Planung für das Sommerfest steht schon lange.|Our planning for the summer party has been a long time. |2|0|never|never
das Plastik|Was für ein Spielzeug möchten Sie? Aus Plastik oder aus Holz?|What kind of toy do you want? Made of plastic or wood? |1|0|never|never
der Platz, ¨-e|1. In unserer Wohnung haben wir nicht genug Platz. 2. Ist dieser Platz noch frei? 3. Nehmen Sie bitte Platz. 4. Die Post ist auf dem Platz, direkt am Markt.|1. In our apartment we do not have enough space. 2. Is this place still free? 3. Please take space. 4. The post office is on the place, directly on the market. |2|0|never|never
plötzlich|Es war zuerst so schön. Plötzlich hat es angefangen zu regnen.|It was so nice first. Suddenly it started to rain. |1|0|never|never
die Politik|Ich interessiere mich nicht für Politik.|I am not interested in politics. |1|0|never|never
der Politiker, - die Politikerin, -nen|Weißt du, wie dieser Politiker heißt?|Do you know how this politician is called? |3|0|never|never
politisch|1. Ich diskutiere mit meinem Mann oft über politische Probleme. 2. Die politischen Meinungen zum Thema Umwelt sind sehr verschieden.|1. I often discuss political problems with my husband. 2. The political opinions on the topic are very different. |1|0|never|never
die Polizei|1. Rufen Sie bitte die Polizei. 2. Er arbeitet bei der Polizei.|1. Please call the police. 2. He works with the police. |1|0|never|never
der Polizist, -en die Polizistin, -nen|Die Ampel war kaputt. Ein Polizist hat den Verkehr geregelt.|The traffic light was broken. A policeman regulated the traffic. |3|0|never|never
die Pommes frites (Pl.)|Die Kinder essen gern Würstchen mit Pommes frites.|The children like to eat sausages with french fries. |1|0|never|never
populär|Diese Musik ist bei Jugendlichen populär.|This music is popular with adolescents. |1|0|never|never
das Portemonnaie/Portmonee, -s (D, CH) → Brieftasche; A: Geldbörse|Ich habe nur Kleingeld in meinem Portemonnaie.|I only have small change in my wallet. |3|0|never|never
die Portion, -en|Bitte, eine große Portion Sahne!|Please, a large serving of cream! |2|0|never|never
positiv|1. Wir haben eine positive Nachricht für Sie. Sie bekommen die Stelle. 2. Man muss positiv denken.|1. We have a positive message for you. You get the spot. 2. You have to think positively. |1|0|never|never
die Post|1. Die Post macht erst um 8 Uhr auf. 2. Meine Frau arbeitet bei der Post. 3. Ist Post für mich da?|1. The post office makes up at 8 o'clock. 2. My wife works at the post office. 3. Is post for me? |1|0|never|never
die Postleitzahl, -en|Weißt du die Postleitzahl der Kollwitzstraße in Berlin?|Do you know the postal code of Kollwitzstraße in Berlin? |2|0|never|never
der Pöstler, - / die Pöstlerin, -nen (CH) → Briefträger|War die Pöstlerin schon da?|Was the doser already there? |3|0|never|never
das Poulet, -s (CH) → D: Hähnchen/Hühnchen; A: Hend(e)l|Zum Mittagessen gibt es Poulet mit Reis.|For lunch there is poulet with rice. |2|0|never|never
das Praktikum, Praktika|Ich mache diesen Sommer drei Monate ein Praktikum bei einer Firma.|I do an internship at a company for three months this summer. |2|0|never|never
der Praktikant, -en die Praktikantin, -nen|Bei dieser Firma habe ich zwei Jahre als Praktikantin gearbeitet.|At this company, I worked for two years as an intern. |3|0|never|never
praktisch|1. Ich finde diese Küchenmaschine sehr praktisch. 2. Ich habe letzte Woche den Führerschein gemacht. Jetzt fehlt mir noch praktische Erfahrung. 3. Dieses Handy kann praktisch alles, was ein Computer kann.|1. I find this food processor very practical. 2. I did the driver's license last week. Now I'm still a lack of practical experience. 3. This phone can virtually everything a computer can. |1|0|never|never
präsentieren|Präsentieren Sie Ihre Ergebnisse bitte im Kurs.|Please present your results in the course. |1|0|never|never
die Präsentation, -en|Die Schülerin hat für ihre Präsentation eine gute Note bekommen.|The student got a good note for your presentation. |2|0|never|never
die Praxis|Das ist die Theorie. In der Praxis ist vieles ganz anders.|That's the theory. In practice, much is very different. |1|0|never|never
die Praxis, Praxen → A: Ordination|Die Arztpraxis bleibt bis zum 7. Januar geschlossen.|The doctor's office remains closed until January 7th. |2|0|never|never
der Preis, -e|1. Die Preise sind schon wieder gestiegen. 2. Wer hat den ersten Preis gewonnen?|1. The prices have risen again. 2. Who won the first prize? |2|0|never|never
preiswert|Die Jacke ist sehr preiswert.|The jacket is very cheap. |1|0|never|never
die Presse|Darüber konnte sich jeder in der Presse informieren.|Everyone was able to inform themselves in the press. |1|0|never|never
prima|Mit diesen Leuten verstehe ich mich prima.|I understand myself with these people. |1|0|never|never
privat|1. Hier meine Nummer im Büro und meine private Nummer. 2. Über meine Probleme möchte ich nicht sprechen. Das ist privat. 3. Ich treffe meine Arbeitskollegen auch privat.|1. Here is my number in the office and my private number. 2. I do not want to talk about my problems. This is private. 3. I also meet my work colleagues private. |1|0|never|never
pro|Eintritt pro Person: zwei Euro.|Admission per person: two euros. |1|0|never|never
probieren, probiert, probierte, hat probiert|1. Haben Sie dieses Waschmittel schon einmal probiert? 2. Ich habe probiert, die Zeitung zu lesen, aber es war zu schwer. 3. Darf ich die Schuhe anprobieren?|1. Have you ever tried this detergent? 2. I have tried to read the newspaper, but it was too heavy. 3. Can I try the shoes? |4|0|never|never
probieren, probiert, probierte, hat probiert (D, CH) → A: kosten|Möchten Sie den Käse mal probieren?|Would you like to try the cheese? |5|0|never|never
das Problem, -e|José spricht nicht gern über seine Probleme.|José does not like his problems. |2|1|2021/04/17|2021/04/17
produzieren, produziert, produzierte, hat produziert|Unsere Firma produziert Feuerzeuge.|Our company produces lighters. |4|0|never|never
das Produkt, -e|1. Unsere Produkte haben eine hohe Qualität. 2. Der Arzt sagt, ich soll keine fertigen Produkte essen.|1. Our products have a high quality. 2. The doctor says I should not eat finished products. |2|0|never|never
die Produktion|Die Produktion von Käse dauert oft viele Wochen.|The production of cheese often takes many weeks. |1|1|2021/04/17|2021/04/17
der Professor, -en die Professorin, -nen|Unsere Nachbarin ist Professorin an der Universität.|Our neighbor is a professor at the university. |3|0|never|never
der Profi, -s|Keine Angst. Mein Bruder kann die Heizung bestimmt reparieren. Er ist doch ein Profi.|No fear. My brother can fix the heating. He is a pro. |2|0|never|never
der Profisportler, - die Profisportlerin, -nen|Mein Sohn möchte Profisportler werden.|My son wants to become a professional athletes. |3|0|never|never
das Programm, -e|1. Hast du schon ins Programm geguckt? Gibt es heute im Fernsehen einen schönen Film? 2. Mit welchen Programmen arbeitest du am Computer?|1. Did you already look into the program? Are there a nice movie today on TV? 2. Which programs do you work on the computer? |2|0|never|never
das Projekt, -e|Der Staat fördert Projekte für Kinder und Jugendliche.|The state promotes projects for children and adolescents. |2|0|never|never
der Prospekt, -e|Bitte schicken Sie mir einen Prospekt von Ihrem Hotel.|Please send me a brochure from your hotel. |2|0|never|never
Prost|Wir trinken auf Ihre Gesundheit! Prost!|We drink your health! Bottom up! |1|0|never|never
protestieren, protestiert, protestierte, hat protestiert|Wir protestieren gegen den Bau der Autobahn.|We protest against the construction of the highway. |4|0|never|never
der Protest, -e|Alle Proteste haben nichts genützt.|All protests have nothing. |2|0|never|never
der Prozess, -e|Der Prozess wird direkt aus dem Gerichtssaal im Fernsehen übertragen.|The process is transferred directly from the courtroom on television. |2|0|never|never
prüfen, prüft, prüfte, hat geprüft|Bitte prüfen Sie sofort, ob die Rechnung stimmt.|Please check immediately if the bill is right. |4|0|never|never
die Prüfung, -en|Mein Freund hat die Prüfung bestanden.|My friend passed the exam. |2|0|never|never
das Publikum|Es war ein tolles Konzert. Das Publikum war begeistert.|It was a great concert. The audience was excited. |1|0|never|never
der Pullover, -|Ich habe mir einen Pullover gekauft.|I bought a sweater. |2|0|never|never
der Punkt, -e|1. Das Konzert beginnt um Punkt 20 Uhr. 2. Beim letzten Satz fehlt der Punkt. 3. Diesen Punkt haben wir noch nicht besprochen.|1. The concert starts at point 8 pm. 2. The last sentence lacks the point. 3. We have not discussed this point yet. spoke. |2|0|never|never
pünktlich|1. Seien Sie bitte pünktlich. 2. Der Bus fährt pünktlich um acht Uhr.|1. Please be punctual. 2. The bus drives punctually at eight o'clock. |1|0|never|never
die Puppe, -n|Unsere kleine Tochter bekommt zum Geburtstag eine Puppe.|Our little daughter gets a doll for his birthday. |2|0|never|never
putzen, putzt, putzte, hat geputzt|1. Ich muss heute noch die Wohnung putzen. 2. Hast du dir schon die Zähne geputzt?|1. I still have to clean the apartment today. 2. Did you already clean the teeth? |4|0|never|never
die Qualifikation, -en|Für diese Arbeit haben Sie gute Qualifikationen.|For this work you have good qualifications. |2|0|never|never
die Qualität, -en|Für mich ist nicht nur der Preis wichtig, sondern auch die Qualität.|For me, not only the price is important, but also the quality. |2|0|never|never
das Quartier, -e (CH) → D, A: Viertel|Wir wohnen in einem schönen Quartier.|We live in a beautiful quarters. |3|0|never|never
quer|Ich muss zu meiner Arbeit quer durch die ganze Stadt fahren.|I have to drive across the city to my work. |1|0|never|never
die Quittung, -en|Brauchen Sie eine Quittung?|Do you need a receipt? |2|0|never|never
das Quiz|Er hat beim Quiz gewonnen.|He won the quiz. |1|0|never|never
der Rabatt, -e|Sie bekommen zehn Prozent Rabatt.|You get ten percent discount. |2|0|never|never
das Rad, ¨-er|Hast du noch ein Rad? Ich bin durch Glas gefahren und jetzt ist mein Rad kaputt.|Do you have a bike? I drove through glass and now my bike is broken. |2|0|never|never
das Rad, ¨-er (D, A) → Fahrrad; CH: Velo|1. Sie fährt jeden Morgen mit dem Rad zur Arbeit. 2. Am Sonntag fahren wir oft Rad.|1. She drives every morning with the wheel to work. 2. On Sunday we often cycle. |3|0|never|never
der Radfahrer, - die Radfahrerin, -nen|Achtung! Da kommt eine Radfahrerin.|Attention! There comes a cyclist. |3|0|never|never
das Radio, -s|1. Ich möchte mir ein neues Radio kaufen. 2. Ich höre gern Radio.|1. I would like to buy a new radio. 2. I like to hear radio. |2|0|never|never
der (Schlag-)Rahm (CH) → D: (Schlag-)Sahne, A: (Schlag-)Obers|Ich hätte gern ein Stück Torte mit (Schlag-)Rahm.|I would like a piece of pie with (impact) cream. |2|0|never|never
der Rand, ¨-er|Wir wohnen am Rand der Innenstadt. Dort ist es billiger und ruhiger.|We live on the edge of the city center. There it is cheaper and quieter. |2|0|never|never
der Rasen, -|Bitte den Rasen nicht betreten!|Please do not enter the lawn! |2|0|never|never
(sich) rasieren, rasiert, rasierte, hat rasiert|Dein Bart ist aber lang! Du solltest dich mal wieder rasieren.|Your beard is long! You should shave yourself again. |4|0|never|never
raten, rät, riet, hat geraten|1. Ich möchte billig Urlaub machen. Was raten Sie mir? 2. Rate mal, wen ich heute getroffen habe! Deinen Lehrer.|1. I want to make a cheap holiday. What do you advise me? 2. Rate, who I met today! Your teacher. |4|0|never|never
der Rat|Was soll ich machen? Können Sie mir einen Rat geben?|What should I do? Can you give me an advice? |1|0|never|never
Ratschlag, ¨-e|Meine Tochter nimmt meine Ratschläge nicht an.|My daughter does not accept my advice. |2|0|never|never
das Rätsel, -|Ich kann dieses Rätsel nicht lösen.|I can not solve this puzzle. |2|0|never|never
das Rathaus, ¨-er|1. Hier links sehen Sie das Rathaus. 2. Die Wahl findet im Rathaus statt.|1. Click here to see the town hall. 2. The choice takes place in the town hall. |2|0|never|never
